20240928,罗湖区,黄贝岭,整租·怡泰大厦,3室2厅,99.65平米,7200
20240928,罗湖区,黄贝岭,整租·海洋大厦,2室1厅,70.00平米,7200
20240928,罗湖区,黄贝岭,合租·文华花园,4居室,17.10平米,1790
20240928,罗湖区,黄贝岭,整租·深业东岭一期,2室1厅,63.00平米,6100
20240928,罗湖区,黄贝岭,合租·景贝南小区,4居室,9.20平米,1430
20240928,罗湖区,黄贝岭,整租·深业东岭一期,2室1厅,70.66平米,7300
20240928,罗湖区,黄贝岭,整租·深业东岭二期,2室1厅,70.00平米,6900
20240928,罗湖区,黄贝岭,合租·文华花园,4居室,8.49平米,1560
20240928,罗湖区,黄贝岭,整租·锦上花家园,2室1厅,58.00平米,4765
20240928,罗湖区,黄贝岭,合租·华丽东村,4居室,7.90平米,1290
20240928,罗湖区,黄贝岭,整租·海富花园,3室1厅,84.71平米,5500
20240928,罗湖区,黄贝岭,整租·深业东岭二期,2室1厅,55.00平米,6500
20240928,罗湖区,黄贝岭,合租·泰丽苑,4居室,8.80平米,1330
20240928,罗湖区,黄贝岭,整租·深业东岭一期,1室0厅,34.00平米,3600
20240928,罗湖区,黄贝岭,独栋·冠寓,深圳上水径地铁店,6间在租,1800-1943
20240928,罗湖区,黄贝岭,整租·深业东岭一期,1室0厅,39.00平米,4000
20240928,罗湖区,黄贝岭,独栋·冠寓,深圳上水径地铁店,27.00平米,1974
20240928,罗湖区,黄贝岭,整租·深发花园,2室1厅,72.00平米,5500
20240928,罗湖区,黄贝岭,合租·文华花园,3居室,10.60平米,1690
20240928,罗湖区,黄贝岭,整租·深业东岭一期,2室1厅,60.00平米,6000
20240928,罗湖区,黄贝岭,合租·文华花园,4居室,16.50平米,2530
20240928,罗湖区,黄贝岭,整租·蓝馨苑,1室0厅,26.67平米,2800
20240928,罗湖区,黄贝岭,合租·景贝南小区,4居室,10.50平米,1390
20240928,罗湖区,黄贝岭,整租·深业东岭一期,4室2厅,126.00平米,9600
20240928,罗湖区,黄贝岭,合租·怡泰大厦,4居室,6.30平米,1560
20240928,罗湖区,黄贝岭,合租·景贝南小区,4居室,11.50平米,1360
20240928,罗湖区,黄贝岭,合租·翠华花园,4居室,8.50平米,1390
20240928,罗湖区,黄贝岭,合租·景贝南小区,4居室,6.00平米,1090
20240928,罗湖区,黄贝岭,合租·文华花园,4居室,11.90平米,1660
20240928,罗湖区,黄贝岭,合租·景贝南小区,4居室,7.90平米,1260
