20241005,福田区,福田中心,整租·大中华国际金融中心,3室1厅,89.15平米,8050
20241005,福田区,福田中心,整租·深大新村,3室2厅,103.00平米,7600
20241005,福田区,福田中心,独栋·享居物业,岗厦汇,80.00平米,12500
20241005,福田区,福田中心,整租·岗厦天元花园,3室2厅,196.00平米,40000
20241005,福田区,福田中心,独栋·享居物业,岗厦城D栋,65.00平米,8500
20241005,福田区,福田中心,整租·中银花园,2室1厅,85.00平米,6500
20241005,福田区,福田中心,整租·岗厦天元花园,3室2厅,196.00平米,45000
20241005,福田区,福田中心,独栋·享居物业,岗厦城C栋,45.00平米,7300
20241005,福田区,福田中心,整租·中海华庭,4室2厅,107.00平米,15000
20241005,福田区,福田中心,独栋·享居物业,岗厦城D栋,58.00平米,8500
20241005,福田区,福田中心,整租·福莲花园,4室2厅,96.00平米,8200
20241005,福田区,福田中心,整租·福莲花园,3室2厅,93.00平米,6600
20241005,福田区,福田中心,独栋·享居物业,岗厦城D栋,100.00平米,13500
20241005,福田区,福田中心,整租·彩天名苑,1室1厅,38.00平米,5000
20241005,福田区,福田中心,独栋·享居物业,岗厦城C栋,65.00平米,8600
20241005,福田区,福田中心,整租·黄埔雅苑一期,2室2厅,107.80平米,11000
20241005,福田区,福田中心,独栋·享居物业,岗厦城B栋,110.00平米,16700
20241005,福田区,福田中心,整租·福莲花园,3室2厅,93.61平米,8200
20241005,福田区,福田中心,独栋·享居物业,岗厦城C栋,65.00平米,8500
20241005,福田区,福田中心,整租·黄埔雅苑一期,2室2厅,78.00平米,11000
20241005,福田区,福田中心,独栋·享居物业,岗厦城C栋,65.00平米,8600
20241005,福田区,福田中心,整租·岗厦天元花园,3室2厅,142.00平米,35000
20241005,福田区,福田中心,独栋·享居物业,岗厦城B栋,65.00平米,9000
20241005,福田区,福田中心,整租·发展兴苑,5室3厅,496.91平米,155000
20241005,福田区,福田中心,独栋·享居物业,岗厦城B栋,70.00平米,9500
20241005,福田区,福田中心,独栋·享居物业,岗厦城E栋,80.00平米,11700
20241005,福田区,福田中心,独栋·享居物业,岗厦城B栋,140.00平米,18800
20241005,福田区,福田中心,独栋·享居物业,岗厦城A栋,205.00平米,33000
20241005,福田区,福田中心,独栋·享居物业,岗厦城C栋,100.00平米,13500
20241005,福田区,福田中心,独栋·享居物业,岗厦城C栋,58.00平米,8500
