20241016,福田区,梅林,整租·颐林雅院,2室2厅,82.63平米,5900
20241016,福田区,梅林,整租·皇庭世茂裕玺,1室1厅,46.12平米,6350
20241016,福田区,梅林,独栋·安居乐寓,梅林店（上梅林新村3）,28.49平米,3600
20241016,福田区,梅林,整租·辉煌时代大厦,1室1厅,28.00平米,3811
20241016,福田区,梅林,独栋·安居乐寓,梅林店（上梅林新村3）,7间在租,3443-3825
20241016,福田区,梅林,整租·旭飞华安园,1室1厅,29.00平米,3500
20241016,福田区,梅林,整租·御锦公馆,1室0厅,38.00平米,5000
20241016,福田区,梅林,独栋·安居乐寓,梅林店,6间在租,2423-2950
20241016,福田区,梅林,整租·旭飞华安园,1室0厅,34.05平米,3450
20241016,福田区,梅林,独栋·安居乐寓,梅林店,18.77平米,1794
20241016,福田区,梅林,整租·迷你新居福田,1室0厅,27.00平米,3300
20241016,福田区,梅林,整租·理想公馆,3室1厅,70.00平米,11000
20241016,福田区,梅林,独栋·安居乐寓,梅林店（上梅林新村3）,19.00平米,2184
20241016,福田区,梅林,整租·汇龙花园,1室1厅,43.00平米,5500
20241016,福田区,梅林,独栋·安居乐寓,梅林店,22.00平米,3100
20241016,福田区,梅林,整租·梅兴苑,3室2厅,98.00平米,6500
20241016,福田区,梅林,独栋·安居乐寓,梅林店,25.76平米,2847
20241016,福田区,梅林,整租·福贸花园,3室1厅,92.26平米,7200
20241016,福田区,梅林,独栋·安居乐寓,梅林店,25.00平米,1950
20241016,福田区,梅林,整租·合正逸园,3室2厅,104.00平米,8500
20241016,福田区,梅林,独栋·安居乐寓,梅林店（上梅林新村3）,7间在租,3188-3420
20241016,福田区,梅林,整租·汇龙花园,1室1厅,50.00平米,4500
20241016,福田区,梅林,独栋·安居乐寓,梅林店,27.43平米,2769-3700
20241016,福田区,梅林,整租·梅林一村,3室2厅,90.00平米,7000
20241016,福田区,梅林,独栋·安居乐寓,梅林店（上梅林新村3）,29.07平米,3358-3600
20241016,福田区,梅林,独栋·安居乐寓,梅林店（上梅林新村3）,7间在租,3443-3825
20241016,福田区,梅林,独栋·安居乐寓,梅林店（上梅林新村3）,6间在租,3145-3447
20241016,福田区,梅林,独栋·安居乐寓,梅林店（上梅林新村3）,28.89平米,3195-3555
20241016,福田区,梅林,独栋·希寓,上梅林品质店,38.00平米,4770
20241016,福田区,梅林,独栋·希寓,上梅林品质店,75.00平米,7830
