20241112,罗湖区,布心,整租·君逸华府,2室2厅,67.00平米,4850
20241112,罗湖区,布心,整租·观山瑞苑,1室1厅,38.00平米,3350
20241112,罗湖区,布心,合租·今日家园,4居室,6.00平米,1090
20241112,罗湖区,布心,整租·碧岭华庭,2室1厅,84.00平米,5800
20241112,罗湖区,布心,整租·天韵府,3室2厅,105.00平米,7500
20241112,罗湖区,布心,整租·青橙时代,1室1厅,30.00平米,2800
20241112,罗湖区,布心,整租·观山祥苑,2室1厅,57.00平米,5200
20241112,罗湖区,布心,合租·东晓花园,4居室,11.90平米,1590
20241112,罗湖区,布心,整租·雍翠华府,2室1厅,44.28平米,4200
20241112,罗湖区,布心,整租·天韵府,3室2厅,106.01平米,7500
20241112,罗湖区,布心,整租·观山祥苑,3室2厅,101.00平米,6000
20241112,罗湖区,布心,整租·悦峰华府,3室1厅,67.00平米,4800
20241112,罗湖区,布心,整租·天韵府,3室1厅,104.22平米,7500
20241112,罗湖区,布心,整租·天韵府,2室1厅,70.00平米,5000
20241112,罗湖区,布心,整租·天韵府,2室1厅,70.24平米,4800
20241112,罗湖区,布心,整租·天韵府,3室2厅,105.00平米,7000
20241112,罗湖区,布心,整租·天韵府,2室1厅,70.24平米,4800
20241112,罗湖区,布心,整租·天韵府,3室2厅,107.00平米,7500
20241112,罗湖区,布心,整租·天韵府,2室1厅,70.00平米,5500
20241112,罗湖区,布心,整租·观山瑞苑,2室1厅,65.00平米,5000
20241112,罗湖区,布心,合租·松泉山庄,3居室,7.40平米,1390
20241112,罗湖区,布心,整租·悦峰尚府,3室2厅,62.00平米,4800
20241112,罗湖区,布心,合租·东晓花园,4居室,11.70平米,1630
20241112,罗湖区,布心,整租·碧岭华庭,3室2厅,93.00平米,6000
20241112,罗湖区,布心,合租·英达花园,5居室,8.20平米,1990
20241112,罗湖区,布心,整租·天韵府,2室1厅,69.85平米,5500
20241112,罗湖区,布心,整租·天韵府,3室2厅,106.02平米,7500
20241112,罗湖区,布心,整租·天韵府,3室1厅,105.07平米,6500
20241112,罗湖区,布心,整租·独树阳光里,2室1厅,77.53平米,6600
20241112,罗湖区,布心,整租·天韵府,3室2厅,105.00平米,7000
