20241117,罗湖区,洪湖,合租·合正锦湖魅力城,4居室,罗湖区-洪湖-合正锦湖魅力城,2060
20241117,罗湖区,洪湖,独栋·八号季公寓,洪湖店,35.00平米,3380
20241117,罗湖区,洪湖,独栋·八号季公寓,洪湖店,40.00平米,3380-3500
20241117,罗湖区,洪湖,独栋·八号季公寓,洪湖店,28.00平米,2400-2480
20241117,罗湖区,洪湖,整租·翠盈嘉园,2室1厅,60.00平米,5000
20241117,罗湖区,洪湖,整租·湖景花园,2室2厅,87.73平米,5600
20241117,罗湖区,洪湖,整租·湖景花园,3室2厅,96.00平米,6500
20241117,罗湖区,洪湖,整租·碧湖花园,1室1厅,27.00平米,1800
20241117,罗湖区,洪湖,整租·邮电大院,3室2厅,86.00平米,4500
20241117,罗湖区,洪湖,整租·城建小区,3室2厅,82.90平米,5000
20241117,罗湖区,洪湖,整租·翠盈嘉园,2室2厅,59.00平米,5000
20241117,罗湖区,洪湖,整租·邮电大院,3室2厅,84.00平米,6500
20241117,罗湖区,洪湖,整租·合正锦湖魅力城,3室2厅,89.88平米,7800
20241117,罗湖区,洪湖,整租·邮电大院,3室1厅,89.00平米,5500
20241117,罗湖区,洪湖,整租·城建小区,1室0厅,30.00平米,2500
20241117,罗湖区,洪湖,整租·合正锦湖魅力城,2室2厅,77.76平米,6600
20241117,罗湖区,洪湖,整租·碧湖花园,3室2厅,107.00平米,7000
20241117,罗湖区,洪湖,整租·邮电大院,3室2厅,70.00平米,4000
20241117,罗湖区,洪湖,整租·翠盈嘉园,2室2厅,59.00平米,5000
20241117,罗湖区,洪湖,整租·碧湖花园,3室2厅,97.44平米,5500
20241117,罗湖区,洪湖,整租·洪湖花园,3室2厅,94.00平米,5800
20241117,罗湖区,洪湖,整租·碧湖花园,1室1厅,25.57平米,2300
20241117,罗湖区,洪湖,整租·源兴居,2室1厅,58.00平米,5000
20241117,罗湖区,洪湖,整租·合正锦湖魅力城,3室2厅,122.00平米,8800
20241117,罗湖区,洪湖,整租·翠盈嘉园,2室1厅,59.00平米,4500
20241117,罗湖区,洪湖,整租·洪湖花园,3室2厅,97.00平米,6300
20241117,罗湖区,洪湖,整租·翠盈嘉园,2室1厅,59.00平米,4500
20241117,罗湖区,洪湖,整租·合正锦湖魅力城,1室1厅,39.11平米,4500
20241117,罗湖区,洪湖,整租·翠盈嘉园,3室2厅,90.24平米,6800
20241117,罗湖区,洪湖,整租·源兴居,1室1厅,24.00平米,2300
